,username,mentionedUsers
293,belief_beggars,['Muinchille']
294,estherschindler,[]
295,AntiquesMag,[]
296,OneSportsPHL,[]
297,lbljewelry,['Etsy']
298,basementafrica,[]
299,africaupdates,[]
300,ancestry_my,[]
301,SeaGypsy15,['eBay_UK']
302,rewardsrhetoric,[]
303,BarcoBenin,['profdanhicks']
304,DavidsonOffor,['nsf_edo']
305,mr_okokobioko,['nsf_edo']
306,tee_jay67,[]
307,ErmBison,['uwagbale_']
308,reyhonzey,[]
309,uwagbale_,['ErmBison']
310,amarchibong,[]
311,oyosportsnews,[]
312,sirlucem,['uwagbale_']
313,redviolin15,['_SaveOurStatues']
314,Unathi_Kwaza,[]
315,Unathi_Kwaza,[]
316,dynamite_80s,[]
317,BlackPanAfrica7,['theonly1acre']
318,EazyIshaq,[]
319,uwagbale_,[]
320,uwagbale_,[]
321,fotokerstin,[]
322,amarchibong,[]
323,Taiwobabajide6,[]
324,ArcheoBlonde,"['profdanhicks', 'profdanhicks']"
325,teamogun2021,[]
326,oguninsight,[]
327,newsacrosscom,[]
328,dozenhost,[]
329,Taiwobabajide6,[]
330,selenamcgonnell,[]
331,DevGoals,['pinkaaso2gh']
332,london_globe,[]
333,AkinolaKoleola,"['iyaboawokoya', 'Temitope_AA', 'stephen_etubi', 'BayoAdedosu', 'Dr_J_Onos']"
334,legitngnews,[]
335,GeorgusPorgus99,['WalkerMarcus']
336,ExtraSportsNG,[]
337,mlowry,['PornPanic']
338,Chiefomoh,"['Naija_PR', 'britishmuseum']"
339,topstoriesghana,[]
340,kayaburgess,[]
341,CFOPUBREL,[]
342,centapost,[]
343,sexydjbabylynn,[]
344,ebeth29,[]
345,lakunle70,[]
346,AAMAfrica,[]
347,AAMAfrica,[]
348,barcajovaadria1,[]
349,TheCharlesIsidi,[]
350,TheCharlesIsidi,[]
351,weshootsport,[]
352,1kingAazukAa,[]
353,list_wand,[]
354,CrossCo13559392,['SaharaReporters']
355,j_samdavid,"['OnlyAfricaFacts', 'churchofengland']"
356,sodustrends,[]
357,allnewsngr,[]
358,PeluAwofeso,[]
359,KelvinRadcliffe,['eniteyoung']
360,lbljewelry,['Etsy']
361,EmekaOkoye,"['RGAMeyer', 'profdanhicks', 'MCHammer']"
362,Taiwobabajide6,[]
363,OkayAfrica,[]
364,Was_Ihr_Wollt,[]
365,FieldHell,[]
366,PulseHuman,['aberdeenuni']
367,lbljewelry,['Etsy']
368,justeventsonlin,[]
369,TheSonOfGeorge,"['Gbenga_Aborowa', 'danishhen2']"
370,LewistonAdultEd,[]
371,grellmary,[]
372,KadunaSports,[]
373,Isma69,[]
374,lbljewelry,['Etsy']
375,ChasingAphrodit,[]
376,debraj112,[]
377,afrofacts1,[]
378,barcajovaadria1,[]
379,profdanhicks,[]
380,jidesports,[]
381,john_sour,[]
382,timkun69,[]
383,winterfell_klnx,['Muhamz_']
384,ScientistFor,['aberdeenuni']
385,TonyeTee,[]
386,Isma69,[]
387,niccijsmith,[]
388,SFezile_,[]
389,KadunaSports,[]
390,Sconaluser,['YouTube']
391,lbljewelry,['Etsy']
392,gwii_23,[]
393,agimediata,[]
394,artnet,[]
395,serialtchiller,['mikkythefiend']
396,Saganscience,['YouTube']
397,luisfernsuarez,[]
398,TrueAncestry,[]
399,Archaeos0up,[]
400,JohnPicton5,['EveningExpress']
401,KiyaaKanjukia,[]
402,Tblazeen,"['BlogsJay', 'iamdjsoundgod', 'RexEmmanuel16', 'funshographix']"
403,kabulii,[]
404,AncientPages,[]
405,Arjanti1970,[]
406,Sisiblisi,['fatimamanji']
407,OCAfricano,[]
408,xduran_e,['ScienceMagazine']
409,BoarNews,[]
410,nevinomics,['TheEconomist']
411,athambile,['YouTube']
412,bunfem,['fatimamanji']
413,africaupdates,[]
414,africaupdates,[]
415,tweetticator,[]
416,CizzleWizz,['fatimamanji']
417,HafisToksKadiri,['YouTube']
418,newsdiaryonline,[]
419,Akufuna_Ngonda,"['AJEnglish', 'AfricaNowOnline', 'AfWrldNwPrj']"
420,nickgedwards,['aberdeenuni']
421,sasu_xpc,[]
422,aberdeenuni,"['Channel4News', 'uoacollections']"
423,abarakate1,[]
424,Davidmuchuchu,['abuhassan221']
425,IvorETower,['Channel4News']
426,enablinguk,['aberdeenuni']
427,Olukad1,['Channel4News']
428,_mia_gray,"['aberdeenuni', 'profdanhicks']"
429,Channel4News,[]
430,BeckyRLH,"['profdanhicks', 'fatimamanji']"
431,MamaDuckOfMayo,['YouTube']
432,Davidvital,['YouTube']
433,EsiMizen,['adilray']
434,ExBulletinUk,[]
435,shift_in2_turbo,['AJEnglish']
436,andrewahala,"['profdanhicks', 'guardian', 'victorsozaboy']"
437,lbljewelry,['Etsy']
438,HafisToksKadiri,[]
439,vubblePOP,['Channel4News']
440,TamsinRussell,"['Channel4News', 'uoacollections', 'profdanhicks', 'YouTube']"
441,BanglaViral,[]
442,TanyaHarrod,"['hookmoor', 'profdanhicks']"
443,jonaspaul007,"['BBCNewsnight', 'katierazz']"
444,f_k_campbell,['YouTube']
445,PKewes,[]
446,news_bht,[]
447,Channel4News,['fatimamanji']
448,shaistaAziz,"['fatimamanji', 'Channel4News', 'profdanhicks']"
449,MrDJones,[]
450,feeldennis,['aberdeenuni']
451,TheChestnutPost,[]
452,Faudaville,[]
453,carolinefiennes,[]
454,cuibono2016,[]
455,Uni_English,[]
456,bebopgirl1969,[]
457,clemmyjazz,[]
458,Pastoralist1,[]
459,paulrogers002,[]
460,fatimamanji,['Channel4News']
461,ElJuvante,[]
462,assooood,[]
463,Pastoralist1,[]
464,TheArtNewspaper,[]
465,mark14907,[]
466,brianrolfeart,[]
467,nowclarence,[]
468,brianrolfeart,[]
469,AfricaStoryLive,[]
470,sedikola,[]
471,sothfaest,"['MarxNotNarcs', 'BuddyYakov', 'TiltingatM3', 'ColinJMcAuliffe', 'pseudoerasmus', 'irl_neil', 'gabrielwinant']"
472,umac_icom,[]
473,enebome,['profdanhicks']
474,UK_ICOM,['uoacollections']
475,PowellCotton,"['connorbluemel', 'MaidstoneMuseum']"
476,positiveworldon,['aberdeenuni']
477,ancestry_my,[]
478,LeedsCityMuseum,['ProfKarenSayer']
479,uoacollections,['WriteReadLive10']
480,manroufchanfi,[]
481,iBugga_King,[]
482,FujiiPonta,[]
483,sedikola,[]
484,musermeku,[]
485,gregorg,['ngadc']
486,lbljewelry,['Etsy']
487,desert____lion,[]
488,artnet,[]
489,lotuseaters_com,['rorylotuseaters']
490,ELBordeaux,[]
491,artdogistanbul,[]
492,aberdeenuni,['uoacollections']
493,scheyerlec,[]
494,samirasawlani,['thecontinent_']
495,LynchKenny,['aberdeenuni']
496,BarnabyPhillips,['FemiOke']
497,afro_int,[]
498,MacJordaN,['asemota']
499,TheShehus,['uoacollections']
500,NationalEdo,[]
501,360guaranty,[]
502,FreshlyPressed7,[]
503,Julia_Brungs,[]
504,OphelieJouan,['aberdeenuni']
505,StephenFitzz,[]
506,bubblereports_,[]
507,Katombozi,[]
508,talkmyown,[]
509,mcmrhona,['aberdeenuni']
510,weayl,[]
511,PilotAfrican,[]
512,lizgrossmank,['GuardianAfrica']
513,DanielJuniorthe,[]
514,allafrica,['PremiumTimesng']
515,flr_louis,[]
516,gregorg,[]
517,jeanmcameron,"['scotsguy_61', 'TheArtNewspaper']"
518,EPolemicist,[]
519,EmekaOkoye,"['profdanhicks', 'MCHammer', 'kidehen', 'uwagbale_', 'asemota']"
520,OwenKean,"['aberdeenuni', 'GeorgeThePoet']"
521,ujsalmon,['MAGcurators']
522,RTUKnews,[]
523,AfricaGossipNe1,[]
524,itz_danialves,[]
525,Gail_Lord,"['ProfBethLord', 'aberdeenuni', 'uoacollections', 'LordCultural', 'manltweets', 'britishmuseum']"
526,gregorg,[]
527,bubblereports_,[]
528,tsga0,[]
529,EmpressiveNaija,[]
530,ParisWriters,['profdanhicks']
531,mlleech,['RobertCMahon']
532,KamloopsArchaeo,['MOA_UBC']
533,tsga0,[]
534,profdanhicks,"['ErikCamman', 'MathijsvdLoo', 'britishmuseum']"
535,MathijsvdLoo,['profdanhicks']
536,cgtnafrica,[]
537,MathijsvdLoo,[]
538,sasu_xpc,"['profdanhicks', 'uwagbale_']"
539,afrikview,[]
540,tsga0,[]
541,OfficialJaynuel,['AfricaFactsZone']
542,Sconaluser,[]
543,tobbiematthew,[]
544,LiamSco79664081,[]
545,tsga0,[]
546,artcrimeHQ,['derekfincham']
547,CGTNEurope,['aberdeenuni']
548,ClaudiaCostin,['PremiumTimesng']
549,tsga0,[]
550,WestAfricanUni1,[]
551,allafrica,['PremiumTimesng']
552,NCcomlearn,"['profdanhicks', 'LeedsMuseums']"
553,kabioosi,"['BBCAfrica', 'KathleenNdongmo']"
554,BenFulford1,[]
555,tsga0,[]
556,itohandesigns,[]
557,lzarmati,"['CJFrieman', 'm_lesleywalker']"
558,LetlapaMphahlel,[]
559,itz_danialves,[]
560,nelson_omonu,[]
561,AMusaeum,[]
562,zomfies,[]
563,jwastecx,"['ohansfav1', '_terry2020', 'Chiukwu2', 'lgbinenikaro', 'SaharaReporters', 'MaziNnamdiKanu']"
564,tsga0,[]
565,profdanhicks,"['gregorg', 'bbhilley']"
566,McrMuseum,"['McrMuseum', 'uoacollections']"
567,waikwawanyoike,['thisisthenest']
568,Abi_Funnell7,['BrightonMuseums']
569,KolonialeG,"['dominikhhh', 'Handwerkwissen', 'uniGoettingen']"
570,FinucaneCentre,['UlsterMuseum']
571,tsga0,[]
572,KaMeLPullin,['smithsonian']
573,kikigist,[]
574,kikigist,[]
575,feraldata,"['kilderbenhauser', 'profdanhicks']"
576,susanneanette,[]
577,coilaleah,[]
578,magmidd,[]
579,williewhite,[]
580,robkowa,[]
581,MashedHeritage,[]
582,tsga0,[]
583,bello_osama,['PlusTVAfrica']
584,Sharonheal,[]
585,JustSociety4all,[]
586,GbenroAdegbola,[]
587,UjuAyalogusBlog,[]
588,riokmedia,[]
589,tsga0,[]
590,1InfoAfrica,[]
591,Gidi_Traffic,['MobilePunch']
592,basicony,[]
593,tsga0,[]
594,MaryAsanga,[]
595,uhusianocap,[]
596,KasualKool,[]
597,fabio_scala,[]
598,rpaulacarvalho,[]
599,mannyenyirenda,[]
600,FurtherMarkets,[]
601,FurtherAfrica,[]
602,tsga0,[]
603,ToriExpress,[]
604,degovnoor,[]
605,RealOkakah,[]
606,tsga0,[]
607,TheGlintOfLight,[]
608,esotouric,['profdanhicks']
609,Gistfactory,[]
610,esotouric,['LACMA']
611,gregorg,"['jg_bollard', 'profdanhicks']"
612,dafreaknmee,[]
613,JokesNaija,[]
614,hopefullyis31,[]
615,MathijsvdLoo,"['profdanhicks', 'LeidenHum']"
616,tsga0,[]
617,sndwky,[]
618,MorganHuseby,['artsmia']
619,CarlaJeanStokes,"['klgdonaldson', 'profdanhicks', 'ChrisKempshall', 'MOA_UBC']"
620,LoriLeeByrd,['profdanhicks']
621,Raphleta,['BBCNews']
622,franmackandal,['profdanhicks']
623,Ian_Mosby,['ROMtoronto']
624,_kpek,[]
625,notafascist98,['dartmouth']
626,fringetracker,[]
627,fringetracker,['austmus']
628,moncur_d,[]
629,tsga0,[]
630,allafrica,['PremiumTimesng']
631,helengood,['shanedgj']
632,barrytorch14,[]
633,HL_Robertson,[]
634,insidebizng,[]
635,umac_icom,[]
636,shauntvng,[]
637,LeonhardtSEA,"['StlArtMuseum', 'StlArtMuseum']"
638,cnnpidgin,[]
639,oladotun1969,[]
640,DEagleOnline,[]
641,david_s_barker,"['BM_AG', 'BarberInstitute']"
642,KoloheChica,[]
643,mandolynhicks,"['HearstMuseum', 'profdanhicks']"
644,Austin_Rioba,[]
645,Austin_Rioba,[]
646,Austin_Rioba,[]
647,Austin_Rioba,[]
648,Austin_Rioba,[]
649,Austin_Rioba,[]
650,Austin_Rioba,[]
651,EmpressiveNaija,[]
652,seefinish,[]
653,navok_1,[]
654,inebriart,[]
655,debbieforsure30,[]
656,seefinish,[]
657,YoChidi,['aberdeenuni']
658,derekfincham,[]
659,derekfincham,[]
660,derekfincham,[]
661,DDesBaillets,['EnglishAberdeen']
662,Babatoks,[]
663,tsga0,[]
664,Gidi_Traffic,"['gidi_9ja', 'Gidi_Traffic']"
665,jornalagora_,[]
666,insidebizng,[]
667,KayDawodu,[]
668,EmpressiveNaija,[]
669,profdanhicks,[]
670,VanguardAllure,[]
671,gatmash,[]
672,yabaleftonline,[]
673,jl_hoyas,['MuseumsAssoc']
674,Afor32977890,[]
675,hallaboutafrica,[]
676,UoD_Museums,['uoacollections']
677,irukanews,[]
678,ShivaForJustice,"['aberdeenuni', 'GOVUK', 'BorisJohnson', 'mbachelet', 'UN_HRC']"
679,teewai_toyin,[]
680,myschoolnews_Ng,[]
681,YgistNG,[]
682,ajebofarmer,['profdanhicks']
683,theschsearchb,[]
684,list_wand,[]
685,OgiemwonyiPhD,[]
686,TSBnewsnigeria,[]
687,gueritachilanga,[]
688,kingopetv,[]
689,ameyaw112,[]
690,list_wand,[]
691,MuseumsAssoc,[]
692,Thengozimedia,[]
693,PlusTVAfrica,[]
694,A_James_Esq,['SirGeoffPalmer']
695,popuolajr,"['tvcnewsng', 'seunokin', 'RealSeunKuti', 'OvieOmoAgege']"
696,allafrica,['PremiumTimesng']
697,Quotidiendelart,[]
698,rakdiva,['BBCNews']
699,AfriNewsAgency,['TheChadAnthony1']
700,drSallyBD,"['profdanhicks', 'warringtonmus']"
701,willjennings80,['IpswichMuseums']
702,anni_shepherd,['aberdeenuni']
703,N24Station,[]
704,SunceMore1,[]
705,freelartltd,[]
706,OSIWA1,[]
707,elizabethblogng,[]
708,braveworldmedia,[]
709,SwaziBridge,['spreaker']
710,KinsmenICT,[]
711,Nebxvibes,[]
712,SUGAngr,[]
713,Naijawapz1,[]
714,FicusTv,[]
715,thtafrica,[]
716,NicoleLobdell,[]
717,Go247B,[]
718,AfricaBizRadio,['spreaker']
719,SirGeoffPalmer,[]
720,profdanhicks,[]
721,Sandraspicyy,[]
722,OzyOmaa,[]
723,ratqueen01,[]
724,Abiola_Musbizu,[]
725,dynamic_mag,[]
726,essencepoints,[]
727,Biesloadednaija,[]
728,gidi_9ja,['Gidi_Traffic']
729,newsunplug,[]
730,Africantunez1,[]
731,OkayAfrica,[]
732,ScooperNG,[]
733,abbnewsonline,[]
734,MandiMALS,['AfricaFactsZone']
735,Naijawapz1,[]
736,Ezra_90,"['sirrobhifi', 'JenniferBarth01', 'ManAmongstKings', 'DavidOlusoga']"
737,shen_shiwei,[]
738,kenechiuzor,[]
739,gatmash,[]
740,Worule_Cool,[]
741,globaltimesng,[]
742,wolecypher,[]
743,NG_DailyNews,[]
744,kessmusictv,[]
745,nemdy2004,[]
746,shonatiger,['instapaper']
747,toamagazine,[]
748,olumidagreat,"['NGRPresident', 'beninbronzes', 'globalfinanci14']"
749,swrb1,[]
750,naijalitz,[]
751,affairs_tv,[]
752,talkagblogoffi1,[]
753,Great9ija,[]
754,tsga0,[]
755,oshaugnessy,['uoacollections']
756,SunuAfrik,[]
757,newstrendingng1,[]
758,olu_remiie,[]
759,ZiegoTech,[]
760,Great9ija,[]
761,NKUMEH,[]
762,clearviewonline,[]
763,OlumoRocktv,[]
764,OlumoRocktv,[]
765,OlumoRocktv,[]
766,OlumoRocktv,[]
767,NAIJA_NEWS_BLOG,[]
768,Topnews_tv,[]
769,toptipznews,[]
770,gistaroundyou,[]
771,vanguardngrnews,[]
772,BCRPM,['profdanhicks']
773,NNPress,['artnews']
774,onlinenigeria,[]
775,NaijaGbedu,[]
776,eazyfeeds,[]
777,bubblereports_,[]
778,Tony_Nwajei,[]
779,AMusaeum,[]
780,JDevermont,[]
781,cgartadvisory,['artnews']
782,FOLUKE_DARAMOLA,[]
783,NAIJAMUSICCITY,[]
784,Horndaskoure,[]
785,zubbyTV_,[]
786,Nigerianjourna1,[]
787,globaltimesng,[]
788,globaltimesng,[]
789,instablog9ja,[]
790,TeeboyYungweal1,[]
791,IM_so_MEebony,[]
792,Gistmania,[]
793,celebsocialfeed,[]
794,Tori_Nigeria,[]
795,aberdeenuni,[]
796,aberdeenuni,[]
797,RedQuasar42,[]
798,Naija_PR,[]
799,lindaikeji,[]
800,JohnsonKolins,[]
801,Trendz_Connect,[]
