,index,surname,count,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",race,african
29,695,ovonramwen,9,0.0038759387,0.0012185336,0.0008868161,0.5102394,0.11596961,0.5917659,0.04356352,0.01996263,0.05910011,0.58363754,0.013087502,0.04197386,0.014718695,"GreaterEuropean,British",Non-African
30,447,juju,8,0.6456739,0.015124238,0.15628256,0.0068371203,0.013445915,0.024660181,0.0037895322,0.005683577,0.017203594,0.00089623657,0.015236762,0.025176642,0.06998968,"Asian,GreaterEastAsian,EastAsian",Non-African
31,506,lai mohammed,8,0.0018798913,0.0046244245,0.123707116,0.018446768,0.26015788,0.21433936,0.01703745,0.035683613,0.08652548,0.027702484,0.09506053,0.0565001,0.05833482,"GreaterAfrican,Muslim",African
32,120,boisragon,8,0.0040646205,0.0015840868,0.013787598,0.1867241,0.0057529346,0.08068718,0.057260755,0.041730333,0.5238189,0.033700116,0.015938716,0.014836504,0.020114077,"GreaterEuropean,WestEuropean,French",Non-African
33,243,dracula,8,0.002356208,0.008741457,0.004866569,0.010750449,0.029210422,0.08138065,0.057545785,0.044370748,0.0891594,0.01145008,0.1327317,0.5216714,0.0057650874,"GreaterEuropean,WestEuropean,Italian",Non-African
34,552,macgregor,8,0.003047815,0.0005023943,0.0050029918,0.0048486106,0.00012603305,1.9067103,0.000101284306,0.002902445,0.017349744,0.0007966054,0.044234708,0.013011913,0.0013653055,"GreaterEuropean,British",Non-African
35,534,locke,8,0.042965416,0.0011034249,0.064806335,0.0072053764,0.0013421747,0.756079,0.0071901307,0.0050828992,0.058849495,0.01959852,0.01583386,0.0014741215,0.018469263,"GreaterEuropean,British",Non-African
36,194,curtis,7,0.0032258907,0.0014814106,0.0040448634,0.009776453,0.003134379,0.8100621,0.0033378038,0.02899925,0.05060431,0.0069453204,0.0239536,0.048839822,0.0055947583,"GreaterEuropean,British",Non-African
37,468,kings,7,0.09735147,0.012166731,0.17987315,0.0118265655,0.0056716288,1.3762628,0.023398183,0.04668465,0.08327998,0.011148101,0.07247164,0.009391676,0.07047338,"GreaterEuropean,British",Non-African
38,348,gorgen,6,0.0033481035,0.0007669391,0.00041613972,0.00075561926,0.0009986572,0.21914782,0.029704973,0.44251442,0.0061910776,0.089165874,0.0038071093,0.012357171,0.1908261,"GreaterEuropean,Jewish",Non-African
39,129,brexit,6,0.009075813,0.002832942,0.022124056,0.009959614,0.0014445797,0.25301838,0.122485414,0.037588734,0.10345618,0.12499033,0.09582485,0.0764055,0.14079352,"GreaterEuropean,British",Non-African
40,346,gore,6,0.012400658,0.003931523,0.16428103,0.024485808,0.014213825,1.0692228,0.007948491,0.1926017,0.17861268,0.0031650579,0.12855421,0.19384399,0.006738335,"GreaterEuropean,British",Non-African
41,301,fischer,6,0.039291367,0.004412891,0.0056058713,0.015044779,0.005922214,0.25877014,0.039332848,1.010039,0.13888441,0.34368083,0.07093643,0.032543242,0.035535995,"GreaterEuropean,Jewish",Non-African
42,772,rothenbaum,6,0.0015563103,0.000110348185,0.00014755705,0.0006040844,0.00032209922,0.035507713,0.010865974,0.9190029,0.008464104,0.019079454,0.0026789804,0.00089013274,0.0007703112,"GreaterEuropean,Jewish",Non-African
43,201,dan,6,0.7264843,0.013030232,0.028073726,0.005435823,0.012198107,0.07367652,0.017069792,0.017062536,0.029116627,0.009649548,0.006086617,0.01893693,0.043179166,"Asian,GreaterEastAsian,EastAsian",Non-African
44,722,picasso,6,0.0030832572,0.0020884117,0.0010727895,0.0111555075,0.0069120224,0.12842499,0.0036567806,0.17311849,0.34005415,0.008534696,0.57662064,0.74020654,0.005071887,"GreaterEuropean,WestEuropean,Italian",Non-African
45,238,dorgerloh,6,0.009374084,0.0008054056,0.02013335,0.35151944,0.004991764,0.08764707,0.06815553,0.11718901,0.0038165334,0.104776084,0.0049853036,0.22471623,0.0018901879,"GreaterAfrican,Africans",African
46,491,kunst,6,0.033136908,0.0012113656,0.01915745,0.0025774764,0.022049135,0.09638687,0.03581188,0.04115123,0.020002797,0.6279974,0.013303713,0.00070906605,0.086504824,"GreaterEuropean,WestEuropean,Germanic",Non-African
47,551,macamo,6,0.027481234,0.041399803,0.015063806,0.2850279,0.11731035,0.033750184,0.007822366,0.05725389,0.07266431,0.003978661,0.16135533,0.16998108,0.006911137,"GreaterAfrican,Africans",African
48,82,basu,6,0.004112592,0.06732621,1.6996138,0.0071209595,0.058524042,0.03943175,0.0019158702,0.0042063463,0.018653397,0.0014356867,0.07091742,0.026426367,0.0003156068,"Asian,IndianSubContinent",Non-African
49,669,okeke-agulu,6,0.0009448885,0.0002215942,0.0034411312,1.8486273,0.035658956,0.09509046,0.00024345906,0.0018719198,0.0026294205,1.8733734e-05,0.0054208944,0.00078807835,0.005043071,"GreaterAfrican,Africans",African
50,414,humboldt,5,0.0070539927,0.003247666,0.00030360956,0.001448592,0.0070097223,0.06164007,0.03675722,0.073878706,0.049233478,0.49193105,0.06417992,0.012793679,0.19052236,"GreaterEuropean,WestEuropean,Germanic",Non-African
51,413,huera,5,0.0060796915,0.027081992,0.042301558,0.021655539,0.03305829,0.0588571,0.02083285,0.032560576,0.071320795,0.019899212,0.6328234,0.03082128,0.0027077976,"GreaterEuropean,WestEuropean,Hispanic",Non-African
52,93,benin-bronzen,5,0.00075982016,0.007520219,0.00016464938,0.021522377,0.05207787,0.042335767,0.049014617,0.47647676,0.03910412,0.07169665,0.20823397,0.01618905,0.014904134,"GreaterEuropean,Jewish",Non-African
53,957,zoom,5,0.011375653,0.0076652896,0.021716654,0.020236393,0.009871752,0.5418529,0.01676872,0.29564062,0.018326921,0.017076476,0.01324775,0.021991568,0.004229273,"GreaterEuropean,British",Non-African
54,410,houenoude,5,0.015614509,0.00958285,0.0030925574,0.10877078,0.107063085,0.2052846,0.021118946,0.05789877,1.2573203,0.03471529,0.1696492,0.0063491026,0.0035399958,"GreaterEuropean,WestEuropean,French",Non-African
55,292,farnham,5,0.00045137445,0.00018339635,0.0051748413,0.0009145613,0.0015078186,0.96393096,0.00027072604,0.013032535,0.002811073,0.0018741408,0.008751049,0.00060942414,0.00048805145,"GreaterEuropean,British",Non-African
56,315,frobenius,5,0.00015978391,0.00012586491,0.0009976509,0.0014647859,0.00059128855,0.006722431,0.029919242,0.018609872,0.0494702,0.54860973,0.003906371,0.30806068,0.03136207,"GreaterEuropean,WestEuropean,Germanic",Non-African
57,813,shyllon,5,0.017243998,0.0021754573,0.01327087,0.0041614138,0.00016220447,1.891457,0.0023718562,0.007874834,0.044838592,0.00036408225,0.013056666,0.0015112617,0.00151178,"GreaterEuropean,British",African
58,46,appleyard,5,0.008754689,0.0032204369,0.0044407095,0.001083352,0.0009397917,0.66969323,0.005353138,0.022275768,0.24470943,0.015815884,0.0124766575,0.009363524,0.0018734576,"GreaterEuropean,British",Non-African
59,43,apoh,5,0.0022951446,0.0052717943,0.004190168,0.844019,0.0052638417,0.02382709,0.0032984996,0.06341456,0.009605821,0.002215807,0.0030049696,0.03302771,0.0005656551,"GreaterAfrican,Africans",African
60,167,chirac,5,0.0022075213,0.00039441677,0.0379898,0.008062663,0.029613946,0.09137167,0.030231142,0.07850728,0.7044828,0.0015907128,0.011138656,0.0036673793,0.0007420422,"GreaterEuropean,WestEuropean,French",Non-African
61,357,greenfield,5,0.0033789745,0.0026631202,0.004531838,0.0021226746,0.0014217693,1.4346892,0.026027083,0.44218823,0.049131036,0.008394754,0.021095332,0.0027130116,0.0016431004,"GreaterEuropean,British",Non-African
62,852,taylor,5,0.0007769712,0.00012914088,0.0071404055,0.005734455,0.0018946184,0.9435913,0.00091293734,0.010511238,0.014347292,0.00011827793,0.010434901,0.0031770624,0.0012313247,"GreaterEuropean,British",Non-African
63,781,rushmore,5,0.007966907,0.008975006,0.014533923,0.005849208,0.0029378978,0.91416115,0.005239487,0.017030166,0.002728534,0.0004498933,0.0029820392,0.0040362324,0.013109591,"GreaterEuropean,British",Non-African
64,780,runcie,5,0.01006116,0.0010026629,0.00032552987,0.007933767,0.0005571173,0.9588687,0.00032059394,0.010146388,0.001872868,0.0003497425,0.006509315,0.0009666919,0.0010855162,"GreaterEuropean,British",Non-African
65,700,palace,5,0.005334836,0.003769489,0.011541898,0.011695578,0.008816157,0.6539683,0.0044468204,0.010687122,0.10688172,0.0034387459,0.025916116,0.15269557,0.00080775976,"GreaterEuropean,British",Non-African
66,177,collier,5,0.0037974594,0.00031276263,0.0034546566,0.0025129998,0.00086392445,0.6181829,0.0004960022,0.0057193567,0.3513587,0.00045489232,0.002135006,0.008729656,0.0019817227,"GreaterEuropean,British",Non-African
67,592,mirzoeff,5,0.00033817874,0.0005673427,0.004452767,0.0052943616,0.015037911,0.09115404,0.594802,0.20863889,0.036944356,0.019113395,0.0125605175,0.00936056,0.0017357101,"GreaterEuropean,EastEuropean",Non-African
68,618,museums,4,0.025205482,0.00864478,0.00048850087,0.1732211,0.01672879,0.7044681,0.26659507,0.32697034,0.7618602,0.55727696,0.09985504,0.04311808,0.015567495,"GreaterEuropean,WestEuropean,French",Non-African
69,493,kunste,4,0.051572822,0.013207695,0.017812,0.17360145,0.001876297,0.039466582,0.045614377,0.014416305,0.3644283,0.19909464,0.031537067,0.006620609,0.040751792,"GreaterEuropean,WestEuropean,French",Non-African
70,97,berns,4,0.011034314,0.0034845169,0.020440385,0.0034641563,0.0025392573,1.3109472,0.020750625,0.20045409,0.18023951,0.15747017,0.043075025,0.014280443,0.03182021,"GreaterEuropean,British",Non-African
71,632,ndiritu,4,0.00091630855,0.0006832767,0.0014386551,1.8600287,0.013930751,0.040794354,0.0025597927,0.011032708,0.01650002,0.0012792717,0.03536775,0.01293611,0.0025322058,"GreaterAfrican,Africans",African
72,427,inneh,4,0.019888062,0.035369,0.008254339,0.803954,1.4510323,0.13975103,0.048030235,0.15560469,0.08967696,0.039651405,0.010582858,0.024076853,0.17412843,"GreaterAfrican,Muslim",African
73,875,tythacott,4,0.0022569136,0.003194673,0.0040953183,0.0014202907,0.0014628713,0.9544966,0.0033939192,0.011115562,0.008542134,0.00030049708,0.005223804,0.0030450209,0.0014523386,"GreaterEuropean,British",Non-African
74,839,stucke,4,0.010446304,0.0028711807,0.0051968605,0.039133903,0.0107093295,1.3326312,0.0664398,0.076169886,0.054534134,0.22705823,0.040911067,0.0054072207,0.12849092,"GreaterEuropean,British",Non-African
75,429,isa tijani,4,0.0004153265,0.010342094,0.008234174,0.022413434,0.0036366808,0.06996035,0.009593657,0.078443944,0.044274077,0.0074186367,0.35525796,0.3898634,0.00014624896,"GreaterEuropean,WestEuropean,Italian",Non-African
76,828,spielberg,4,0.0013116125,0.0012524598,5.4912918e-05,0.0004863301,0.0032637676,0.048180226,0.07170119,1.6829511,0.03242357,0.0688539,0.015421609,0.007186917,0.06691271,"GreaterEuropean,Jewish",Non-African
77,626,mutombo,4,0.004341026,0.022263857,0.0023473552,1.756172,0.00032282926,0.06972163,0.0001517168,0.004206143,0.0025432622,0.0004946818,0.04110551,0.09556973,0.0007604391,"GreaterAfrican,Africans",African
78,276,enwonwu,4,0.032079395,0.00016444434,0.00010054266,1.9025482,0.0062582544,0.026947403,0.0012306691,0.006433423,0.009822587,0.008505367,0.00044610666,0.004081482,0.0013819826,"GreaterAfrican,Africans",African
79,121,boyne,4,0.0021010884,0.00063119456,0.010286865,0.005594872,0.0056854174,0.87719023,0.002271072,0.032185912,0.027809966,0.00051752565,0.016936934,0.010238032,0.008550893,"GreaterEuropean,British",Non-African
80,502,la,4,1.8034132,0.0015937118,0.015799722,0.003143421,0.0110760005,0.025909455,0.017853126,0.012515296,0.03232694,0.01106615,0.0062800013,0.05327249,0.005750583,"Asian,GreaterEastAsian,EastAsian",Non-African
81,489,kulturen,4,0.0037113822,0.00092267734,1.0895301,0.010276433,0.31997296,0.008525273,0.17826842,0.035204638,0.0058809067,0.0063717887,0.005689345,0.0026072946,0.33303878,"Asian,IndianSubContinent",Non-African
82,604,mother,4,0.017698778,0.018889662,0.084846176,0.011832973,0.0037108876,0.97272056,0.029388916,0.34964323,0.18998663,0.16460949,0.08582229,0.0324225,0.038427968,"GreaterEuropean,British",Non-African
83,488,kultur,4,0.00016428177,1.2199369e-05,0.8393173,0.005606773,0.14487195,0.0013282658,0.003597742,0.0023324287,0.0012885109,6.0061546e-05,0.00022887686,4.247352e-05,0.0011492057,"Asian,IndianSubContinent",Non-African
84,416,idia,4,0.0039577866,0.016685033,0.06408378,1.0219018,0.15094852,0.032020967,0.00289075,0.025106125,0.0733605,0.004305854,0.2900322,0.29775697,0.016949715,"GreaterAfrican,Africans",African
85,322,ganslmayr,4,0.0070541324,0.00031299016,0.00034893004,0.0026310242,0.07743803,0.06271702,0.14850596,0.5302422,0.039398476,0.092388086,0.012732242,0.0035513681,0.022679517,"GreaterEuropean,Jewish",Non-African
86,676,omonkhua,4,0.06850044,0.022431422,0.00549173,0.27733484,0.080876544,0.43506247,0.9841493,0.07831409,0.0055688014,0.012757828,0.018287843,0.009514916,0.0017096803,"GreaterEuropean,EastEuropean",Non-African
87,937,wood,4,0.0055549545,0.009090277,0.0043997928,0.00058456237,0.0007143765,0.9422009,0.0043996796,0.015473319,0.006241403,0.0035986633,0.003454542,0.003915142,0.00037227574,"GreaterEuropean,British",Non-African
88,710,paula meneses,4,0.0014543891,0.01244257,0.0061496114,0.004169421,0.00058908877,0.004570382,0.00044598285,0.0041485345,0.11967823,0.0040918114,0.82981646,0.010511578,0.0019320019,"GreaterEuropean,WestEuropean,Hispanic",Non-African
89,935,wojnarowicz,4,0.0009622388,0.0009069403,0.00088863546,0.0008600597,0.0010893502,0.10188454,0.27689278,0.48072317,0.027742952,0.025034085,0.06395979,0.01735062,0.001704852,"GreaterEuropean,Jewish",Non-African
90,369,hantzschel,4,0.0003570401,0.00051362166,0.00051759375,0.0025840034,0.0010457542,0.037610997,0.027302656,0.06415329,0.06959485,1.7360485,0.0172488,0.03249869,0.0105243195,"GreaterEuropean,WestEuropean,Germanic",Non-African
91,763,rittmeier,3,0.010135316,0.002756648,0.0019319807,0.00081394357,0.002369721,0.11984652,0.114824034,1.0379182,0.20389405,0.39362046,0.044667337,0.00963691,0.057584934,"GreaterEuropean,Jewish",Non-African
92,609,mullen kreamer,3,0.0017798552,0.00043625984,0.010139796,0.0013822102,0.0012223535,0.05114276,0.033785533,0.107679434,0.06826693,0.6363275,0.03286082,0.040707953,0.014268625,"GreaterEuropean,WestEuropean,Germanic",Non-African
93,133,britons,3,0.018304402,0.0060662837,0.015737304,0.003067209,0.0077235587,0.73782223,0.0062161647,0.05275758,0.06687854,0.013442195,0.027737333,0.021135805,0.023111392,"GreaterEuropean,British",Non-African
94,765,robert phillips,3,0.0015757884,0.0012550107,0.0022249331,0.0028689972,0.0012554345,0.8650784,0.0041194647,0.0037725621,0.08117121,0.008738399,0.013235067,0.006996905,0.0077078333,"GreaterEuropean,British",Non-African
95,342,glasgow,3,0.001459668,0.0017681457,0.0035948004,0.07456434,0.003336943,0.4131116,0.027505381,0.3366919,0.019001393,0.009569923,0.024021339,0.010970451,0.07440407,"GreaterEuropean,British",Non-African
96,691,ostberg,3,0.0009844538,0.0013902197,2.6289956e-05,0.0008318308,0.003835844,0.01026697,0.08255574,0.10835134,0.0066156425,0.020375557,0.0031341468,0.004747777,0.7568841,"GreaterEuropean,WestEuropean,Nordic",Non-African
97,579,mehler,3,0.001980557,0.0010623571,0.0021415122,0.004683606,0.018735545,0.059805486,0.013675124,0.19739284,0.03349952,0.6040226,0.018239362,0.003864478,0.04089702,"GreaterEuropean,WestEuropean,Germanic",Non-African
98,137,bronze,3,0.006668716,0.0020410328,0.0012978204,0.013158823,0.010370317,0.14713292,0.02651054,0.10333248,0.34009448,0.18952852,0.051473655,0.078754455,0.029636152,"GreaterEuropean,WestEuropean,French",Non-African
99,829,spring,3,0.0024805968,0.00380955,0.0017888491,0.007549573,0.0047693546,1.7388619,0.014342437,0.04359134,0.011221696,0.04424974,0.062299293,0.008462102,0.056573518,"GreaterEuropean,British",Non-African
100,26,akinyele,3,0.0003431004,1.802814e-05,8.4895575e-05,0.99003416,0.00019986958,0.005916493,0.000106457825,0.0019551313,0.00035922648,4.93054e-05,0.0005735648,0.000343069,1.6700738e-05,"GreaterAfrican,Africans",African
101,725,plakensteiner,3,0.0028843838,0.0076063797,0.0023671892,0.0015645591,0.022443252,0.27491528,0.05145915,1.1202338,0.04627248,0.21827321,0.15187119,0.04667622,0.053432975,"GreaterEuropean,Jewish",Non-African
102,583,merkel,3,0.0042689154,0.0007548399,0.0029603841,0.013041917,0.012535429,0.078092285,0.17541163,0.50927365,0.045936283,0.117386274,0.020552369,0.0027542335,0.017031834,"GreaterEuropean,Jewish",Non-African
103,916,wambu,3,0.042971607,1.0840509,0.013639266,0.08003586,0.0109556485,0.55684495,0.003980219,0.0328335,0.068184346,0.022762816,0.027303262,0.048851904,0.007585887,"Asian,GreaterEastAsian,Japanese",Non-African
104,719,philip,3,0.010399521,0.0010094726,0.11785256,0.04339538,0.042254128,0.29766613,0.08187754,0.09570306,0.16810188,0.011312779,0.022227045,0.09514256,0.013057893,"GreaterEuropean,British",Non-African
105,577,mbembe,3,5.1770647e-05,6.199149e-05,1.5763308e-05,0.95899016,0.00035252518,0.024544094,0.00026309263,0.00273238,0.0095352065,0.00046763412,0.0023641647,0.00061363453,7.5066782e-06,"GreaterAfrican,Africans",African
106,557,macron’s,3,0.021726739,0.030266022,0.0084088575,0.0524203,0.016057072,0.4017989,0.02815331,0.020233652,0.26673442,0.0041230028,0.09301315,0.052573096,0.0044913893,"GreaterEuropean,British",Non-African
107,396,hicks’,3,0.05930176,0.028341766,0.038459767,0.00916337,0.0035605056,1.5023729,0.028526343,0.015559727,0.19846202,0.017201873,0.063435175,0.021095127,0.014519722,"GreaterEuropean,British",Non-African
108,878,umgang,3,0.6177625,0.00855524,0.04303462,0.13501374,0.043649465,0.579003,0.0043451507,0.017133199,0.023772338,0.1213215,0.09300347,0.008497216,0.3049085,"Asian,GreaterEastAsian,EastAsian",Non-African
109,436,jarmusch,3,0.0099295555,0.00061642315,0.0016126737,0.0033214518,0.0063642007,0.07989804,0.09230766,0.5978123,0.27103645,0.8475011,0.040527996,0.029928004,0.019144151,"GreaterEuropean,WestEuropean,Germanic",Non-African
110,833,stelzig,3,0.00302974,0.004800825,0.0015187069,0.009347684,0.010657578,0.0916093,0.09692431,0.27910596,0.010664054,0.3017442,0.053296518,0.08473335,0.052567787,"GreaterEuropean,WestEuropean,Germanic",Non-African
111,860,thomas’,3,0.06069037,0.06833864,0.076318994,0.02191369,0.008626157,0.5050159,0.011671487,0.039861344,0.056043327,0.014520377,0.067295216,0.064138815,0.005565733,"GreaterEuropean,British",Non-African
112,389,hickley,3,0.0021979692,0.0010268006,0.0015501396,0.0011456548,5.230177e-05,0.97196215,0.00012176599,0.001651202,0.010942638,0.001170306,0.0056514395,0.00241169,0.00011582627,"GreaterEuropean,British",Non-African
113,853,teil,3,0.031795382,0.02733586,0.263774,0.0030764472,0.03448607,0.06181806,0.048734497,0.34731433,0.03541184,0.022953158,0.021906313,0.078862555,0.022531465,"GreaterEuropean,Jewish",Non-African
114,22,afrika,3,0.007811045,0.019286342,0.040596757,0.5526664,0.2368341,0.011772545,0.029315481,0.05855031,0.01998993,0.0009944955,0.01566216,0.0056053293,0.0009150056,"GreaterAfrican,Africans",African
115,441,johnson,3,0.0057964013,0.0039085713,0.007982787,0.015191106,0.0013736937,0.90252733,0.0006512446,0.008101471,0.023272684,0.002019411,0.01439233,0.00441977,0.010363085,"GreaterEuropean,British",Non-African
116,570,martinez,3,0.0017350303,0.009994249,0.014801802,0.0015889922,0.0039905775,0.15676425,0.0060468484,0.0231836,0.2968729,0.0035639356,0.37034604,0.10933809,0.0017736306,"GreaterEuropean,WestEuropean,Hispanic",Non-African
117,947,zaks-ali,3,0.00061801804,0.0001532143,0.020419605,0.10626478,0.49863282,0.11046154,0.010368206,1.1740675,0.017145948,0.0024009692,0.03110329,0.022423219,0.0059407842,"GreaterEuropean,Jewish",Non-African
118,727,plaques,3,0.0056157988,0.028601073,0.012113005,0.0031208033,0.0038108993,0.10179979,0.008213769,0.045670122,1.3205823,0.0058133192,0.42487603,0.027142974,0.012640163,"GreaterEuropean,WestEuropean,French",Non-African
119,548,lydia riley,3,0.0062194504,0.00045417386,0.0022957167,0.0059435503,0.00090192334,0.9295726,0.0038873584,0.009964933,0.01748337,0.00565156,0.010371219,0.003931256,0.0033228104,"GreaterEuropean,British",Non-African
